REYNO,PHYLUM,CLASE,ORDEN,FAMILIA,GENERO,NOMESPECIE,NOMCOMUN
,,,,,,,
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,CHAETOCERACEAE,CHAETOCEROS,vistulae,ANCHOA DEL NORTE
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,CHAETOCERACEAE,CHAETOCEROS,vanheurckii,ANCHOA CORTA
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,CHAETOCERACEAE,CHAETOCEROS,tortissimus,"ANCHOA, ANCHOVETA"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,CHAETOCERACEAE,CHAETOCEROS,tetrastichon,ANCHOA
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,CHAETOCERACEAE,CHAETOCEROS,teres,ANCHOA
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,CHAETOCERACEAE,CHAETOCEROS,subtilis,"AGUJA, PEZ AGUJA, AGUJONA"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,CHAETOCERACEAE,CHAETOCEROS,socialis,AGUJA
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,CHAETOCERACEAE,CHAETOCEROS,similis,BASURERO NEGRO
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,CHAETOCERACEAE,CHAETOCEROS,seychellarum,"BASURERO, SABLE NEGRO"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,CHAETOCERACEAE,CHAETOCEROS,radicans,"BARBUDO AZUL, BARBUDO CO,"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,CHAETOCERACEAE,CHAETOCEROS,pseudo-curvisetus,"BARBUDO AMARILLO, AMARILL"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,CHAETOCERACEAE,CHAETOCEROS,perpusillus,"BARBON, CHIVO, SALMONETE J"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,CHAETOCERACEAE,CHAETOCEROS,peruvianus,"BARBA DE CHOCLO, BARBUDO"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,CHAETOCERACEAE,CHAETOCEROS,pendulus,"BACALAO DE PROFUNDIDAD, P"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,CHAETOCERACEAE,CHAETOCEROS,pelagicus,"BABUNCO, GALLINAZO, MERO"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,CHAETOCERACEAE,CHAETOCEROS,messanensis,"BURRO, ARNILLO, CARACHA, L"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,CHAETOCERACEAE,CHAETOCEROS,lorenzianus,"BOBO, MISCUY, MISMIS, ROLLI"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,CHAETOCERACEAE,CHAETOCEROS,lauderi,BERECHITO MANCHADO
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,CHAETOCERACEAE,CHAETOCEROS,laevis,"BERECHE BRILLANTE, BERECHE"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,CHAETOCERACEAE,CHAETOCEROS,laciniosus,"BERECHE, RAYADO"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,CHAETOCERACEAE,CHAETOCEROS,holsaticus,"BERECHE, BOCON"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,CHAETOCERACEAE,CHAETOCEROS,gracilis,BERECHE
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,CHAETOCERACEAE,CHAETOCEROS,gibenii,"AYANQUE, CORVINA, CACHEM,"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,CHAETOCERACEAE,CHAETOCEROS,diversus,"AYANQUE, CORVINA, CACHEM,"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,CHAETOCERACEAE,CHAETOCEROS,didymus,"BONITO, MONO"
ANIMAL,EUKARIOTA,BACILLARIOPHYCEAE,CENTRALES,CHAETOCERACEAE,CHAETOCEROS,dichaeta,BARRILETE
