Nro,NOMBRE_INSTITUCION,DIRECTOR,DIRECCION,TELEFONOS,CORREO_ELECT,OBSERVAC
1,"HOGAR DE LA NIÑA","Lic.  MARTINA SOLANO ZAVALETA                      ","ROSA PETTELLIER Nº 256   5TA ETAPA SAN ANDRES",281011,"car.lanina@inabif.gob.pe      equipotecnico_ts@hotmail.com
car.sjosétr@inabif.gob.pe","Atención integral a niñas de 06 a 14 años"
2,"CAR ""SAN JOSÉ""","LIC. WILFREDO GUTIERREZ MATOS","Calle González Prada N° 705 - Trujillo",242231,"car.sjosetr@inabif.mimp.gob.pe       wily_guma@hotmail.com","Atención integral a niños de 06 a 14 años."
3,"ASOCIACIÓN ""NUEVOS PASOS""","YUSIMÍ DOBAÑO GARCÍA","Albergue Laredo (Cementerio) Ofic. Perricholi Mz D Lote 15 Urb San Pedro.",207393,"asociacionnuevospasos@hotmail.com;       yusimidg@gmail.com","Atención hasta 09 años de edad, en riesgo y alto riesgo: - Desarrollar un trabajo integral con niñas, niños y adolescentes en toda su magnitud, personal, social y espiritual.                             - Velar por satisfacer sus necesidades."
4,"CASA DE LA DIVINA PROVIDENCIA  - Congregación de Misioneras de San Vicente de Paúl.","Rvda. MARÍA LUCÍA VERONA SANTISTEBAN.","Calle Juan Masías N° 560 San Andrés",246004,marialucia18@hotmail.com,"Atención a NN hasta 02 años, Dar protección, ayuda, educación y formación a NN y A en estado de abandono, orfandad, riesgo moral y material"
5,"ALBERGUE INFANTIL  ""CORAZÓN DE JESÚS""","NELLY FLOR MENDOZA DE OLIVARI","Urb. Sr. De los Milagros S/N Chepén",,,"Atención a Niñas y Niños hasta 06 años. Atender a Niñas y Niños abandonados y de extrema pobreza en peligro físico y moral."
6,"CASA DE PAZ","GEORGINA CARRERA GRADOS","Mz H Lote 1 AA.HH. Las Palmeras - Pacasmayo",706587,casadepazperu@gmail.com,"Atención a Niñas y Niños hasta 09 años de edad"
7,"ASOCIACIÓN ""MUNDO DE NIÑOS""","BLANCA ELIZABETH ESPINOZA GREY - ANNIE JOHANSON VALDIVIA","Mz 3 Lote 7 Miguel Grau - Huanchaquito",,ajohanson@mundodeninos.org,"Reinsertar al menor al nucleo familiar y sociedad como persona libre, sana, productiva y felíz."
8,"ASOC. CENTRO DE ATENCIÓN Y EDUCACIÓN A LA FAMILIA  ""LA CASA DE TUTTY""","MARÍA JOSÉ MELÉNDEZ VILLALOBOS.","Campiña de Moche s/n sector El Tanque (frente Rest. Sol y fiesta",,caef14@yahoo.com,"Programa gratuito para reeducación del niño, niña y su familia generando condiciones para la disminución del riesgo social"
9,"HOGAR ""OSCAR ROMERO"" Fundación Fraternitas Sine Finitus","MARÍA FERNANDA PÉREZ PRIETO.","Buenos Aires norte, calle Pedro Ruiz N° 218 y Pedro Herrera N° 766",288898,hogaroscarromero@fraternitas.es,"Cuidado de niñas, niños y adolescentes en circunstancias, abandono  material/moral,orfandad, niños en calle, maltratados, de 0 a 12 años"
10,"""SEÑORA DE LOURDES"" Fundación Hogar de Niños Especiales.","CARMEN VÁSQUEZ PÉREZ","Moche, calle Carlos de los Heros N° 306",418335,,"Lograr la recuperación de los inpedidos físicos y mentales como seres útiles a la sociedad, especialmente niñas y niños"
11,"ALDEA INFANTIL  “SANTA ROSA “","CRISTINA SANDOVAL PEREDA","QUIRIHUAC - Carretera a la sierra",996803885,,"Atención a NN y A hasta 17 años, brinda atención integral"
12,"""LUZ DE VIDA""","ELIZABETH BERNUY MÉNDEZ","Sarmiento N° 480 - Las Quintanas",,elizabethberm@gmail.com,"Atención a adolescentes y jóvenes, orientado a desarrollo técnico productivo."
13,"CAR ""HOGAR DE ESPERANZA""","ALEX CENEPO TORRES","Salaverry  Km 3.5 autopista.",,"acento_1@hotmail.com;    hogardeesperanza@gmail.com","Atención a niñas, niños y adolescentes de 2 a 17 años de edad en situación de abandono y riesgo."
