PROVINCIA,MUNICIPALIDAD_DISTRITAL,DOCUMENTO_CREACION,Año
OTUZCO,Agallpampa,Ordenanza Municipal N° 004-2013-MDA,2013
SANTIAGO DE CHUCO,Angasmarca,Ordenanza Municipal N° 003-2013-MDA,2013
SÁNCHEZ CARRIÓN,Curgos,Ordenanza Municipal N° 005-2013-MDC,2013
SÁNCHEZ CARRIÓN,Sartimbamba,Ordenanza Municipal N° 005-2013-MDS/A,2013
JULCAN,Calamarca,Ordenanza Municipal N° 002-2013-MDC,2013
OTUZCO,Otuzco,Ordenanza Municipal N° 013-2014-MPO,2014
CHEPEN,Pacanga,Ordenanza Municipal N° 004-2014-MDP,2014
CHEPEN,Pueblo Nuevo,Ordenanza Municipal N° 012-2014-MDPN,2014
ASCOPE,Ascope,Ordenanza Municipal N° 001-2014-MPA,2014
SÁNCHEZ CARRIÓN,Marcabal,Ordenanza Municipal N° 031-2014-MDM/A,2014
SÁNCHEZ CARRIÓN,Cochorco,Ordenanza Municipal N° 001-2014-MDC,2014
SÁNCHEZ CARRIÓN,Chugay,Ordenanza Municipal N° 002-2014-MDCH/A,2014
SÁNCHEZ CARRIÓN,Sanagorán,Ordenanza Municipal N° 026-2014-MDS-SS,2014
SÁNCHEZ CARRIÓN,Sarín,Ordenanza Municipal N° 006-2014-MDS/A,2014
GRAN CHIMU,Cascas,Ordenanza Municipal N° 008-2014-MPGCH-C,2014
JULCAN,Huaso,Ordenanza Municipal N° 002-2014-MDH,2014
OTUZCO,Usquil,Ordenanza Municipal N° 026-2015-MDU,2015
OTUZCO,Sinsicap,Ordenanza Municipal N° 0104-2015-MDS,2015
OTUZCO,Salpo,Ordenanza Municipal N° 029-2015-MDS,2015
OTUZCO,Huaranchal,Ordenanza Municipal N° 002-2015-MDH,2015
OTUZCO,Carabamba,Ordenanza Municipal N° 002-2015-MDC,2015
OTUZCO,Mache,Ordenanza Municipal N° 004-2015-MDM,2015
SANTIAGO DE CHUCO,Cachicadan,Ordenanza Municipal N° 006-2015-MDC/CM,2015
SANTIAGO DE CHUCO,Quiruvilca,Ordenanza Municipal N° 005-2015-MDQ/A,2015
SANTIAGO DE CHUCO,Santiago de Chuco,Ordenanza Municipal N° 004-2015-MPSCH,2015
ASCOPE,Chicama,Ordenanza Municipal N° 006-2015-MDCH,2015
ASCOPE,Chocope,Ordenanza Municipal N° 004-2015-MDCH,2015
ASCOPE,Magdalena de Cao,Ordenanza Municipal N° 011-2015-MDMC/A,2015
ASCOPE,Razuri,Ordenanza Municipal N° 006-2015-MDR,2015
ASCOPE,Paiján,Ordenanza Municipal N° 004-2015-MDP,2015
VIRU,Virú,Ordenanza Municipal N° 025-2015-MDV,2015
VIRU,Guadalupito,Ordenanza Municipal N° 001-2015-MDG,2015
PATAZ,Tayabamba,Ordenanza Municipal N° 006-2015-MPP-T,2015
PATAZ,Parcoy,Ordenanza Municipal N° 005-2015-MDP,2015
PATAZ,Chillia,Ordenanza Municipal N° 001-2015-MDCH-AL,2015
PACASMAYO,Jequetepeque,Ordenanza Municipal N° 004-2015-MDJ,2015
PACASMAYO,San Pedro de Lloc,Ordenanza Municipal N° 026-2015-MPP,2015
PACASMAYO,Guadalupe,Ordenanza Municipal N° 022-2015-MDG,2015
PACASMAYO,San José,Ordenanza Municipal N° 006-2015-MDSJ,2015
SANCHEZ CARRION,Huamachuco,Ordenanza Municipal N° 276-2015-MPSC,2015
JULCAN,Carabamba,Ordenanza Municipal N° 002-2015/MDC,2015
JULCAN,Julcan,Ordenanza Municipal N° 015-2015/MPJ,2015
TRUJILLO,Poroto,Ordenanza Municipal N° 003-2015-MDP,2015
BOLIVAR,Bolivar,Ordenanza Municipal N° 10-A-2015-MPB/A,2015
