ITEM,NOMBREEMPRESA,RUTA,TOTALFLOTA,Provincia
1,E. T. SERV. MULT.SOL NACIENTE S.R.L,Trujillo - Casa Grande y Viceversa,5, ASCOPE 
2,EMP.TRANSPORTES DON NICO S.R.L.,Trujillo - Casa Grande y Viceversa,8, ASCOPE 
3,EMPRESA DE TRANSPORTES LOS GARCIA HNOS. S.R.L.,Trujillo - Santiago de Cao y Viceversa,4, ASCOPE 
4,EMP. TRANSP. NUEVO CHINCHAYSUYO SRL,Trujillo - Casa Grande y Viceversa,6, ASCOPE 
5,EMP.TRANSP.SAN MATEO EXPRESS S.R.L,Trujillo - Cartavio y Viceversa,10, ASCOPE 
6,EMP. TRANSP. SANTA ROSA S.A.C.,Trujillo - Cartavio y Viceversa,4, ASCOPE 
7,EMP. TRANSP. SEÑOR DE LA CAÑA S.A.,Trujillo - Cartavio y Viceversa,5, ASCOPE 
8,EMP.TRANSP.SR.DE LOS MILAGROS SRL,Trujillo - Casa Grande y Viceversa,10, ASCOPE 
9,EMP.TRANSP. ALCOVI S.A.C.,Trujillo - Cartavio y Viceversa,4, ASCOPE 
10,TRANSPORTES TOURS AM & BUSSES S.A.C.,Trujillo - Ascope y Viceversa,6, ASCOPE 
11,DORADO EXPRESS E.I.R.L.,Trujillo - Puerto Malabrigo y Viceversa,20, ASCOPE 
12,EMP. TRANSPORTES VELMAJ  E.I.R.L.,Trujillo - Casa Grande y Viceversa,5, ASCOPE 
13,EMP. TRANSP. PASJ.SAN MIGUEL S.R.L.,Ascope - Trujillo y Viceversa,4, ASCOPE 
14,EMPRESA DE TRANSPORTES EL JAGUAR S.R.L.,Trujillo - Ascope y Viceversa,5, ASCOPE 
15,EMP.TRANSP. VICTOR S.R.L.,Trujillo - Ascope y Viceversa,5, ASCOPE 
19,EMP. TRANSP. TURISMO S.R.L.,Trujillo - Casa Grande y Viceversa,4, ASCOPE 
20,TURISMO ASCOPE S.A.C.,Trujillo - Ascope y Viceversa,6, ASCOPE 
21,TURISMO RODRIGUEZ VILCHEZ S.A.C.,Trujillo - Puerto Malabrigo y Viceversa,26, ASCOPE 
22,EMP. TRANSP. TURISMO LUCMA SAC.,Trujillo - Ascope y Viceversa,3, ASCOPE 
23,EMP. TRANSP. NUEVO PAKATNAMU S.A.,Trujillo - Pacasmayo y Viceversa,12,PACASMAYO
24,PACASMAYO EXPRESS S.R.L.,Trujillo - Pacasmayo y Viceversa,11,PACASMAYO
25,EXPRESO PAKATNAMU S.A.C.,Trujillo - Guadalupe y Viceversa,10,PACASMAYO
26,EMP DE TRANSP. MI SALVADOR SAC.,Trujillo - Chepen y Viceversa,16,CHEPEN
