"Continente","Pais","Departamento","Ciudad","Population"
"North America","Aruba","–","Oranjestad","29034"
"Asia","Afghanistan","Kabol","Kabul","1780000"
"Asia","Afghanistan","Qandahar","Qandahar","237500"
"Asia","Afghanistan","Herat","Herat","186800"
"Asia","Afghanistan","Balkh","Mazar-e-Sharif","127800"
"Africa","Angola","Luanda","Luanda","2022000"
"Africa","Angola","Huambo","Huambo","163100"
"Africa","Angola","Benguela","Lobito","130000"
"Africa","Angola","Benguela","Benguela","128300"
"Africa","Angola","Namibe","Namibe","118200"
"North America","Anguilla","–","South Hill","961"
"North America","Anguilla","–","The Valley","595"
"Europe","Albania","Tirana","Tirana","270000"
"Europe","Andorra","Andorra la Vella","Andorra la Vella","21189"
"North America","Netherlands Antilles","Curaçao","Willemstad","2345"
"Asia","United Arab Emirates","Dubai","Dubai","669181"
"Asia","United Arab Emirates","Abu Dhabi","Abu Dhabi","398695"
"Asia","United Arab Emirates","Sharja","Sharja","320095"
"Asia","United Arab Emirates","Abu Dhabi","al-Ayn","225970"
"Asia","United Arab Emirates","Ajman","Ajman","114395"
"South America","Argentina","Distrito Federal","Buenos Aires","2982146"
"South America","Argentina","Buenos Aires","La Matanza","1266461"
"South America","Argentina","Córdoba","Córdoba","1157507"
"South America","Argentina","Santa Fé","Rosario","907718"
"South America","Argentina","Buenos Aires","Lomas de Zamora","622013"
"South America","Argentina","Buenos Aires","Quilmes","559249"
"South America","Argentina","Buenos Aires","Almirante Brown","538918"
"South America","Argentina","Buenos Aires","La Plata","521936"
"South America","Argentina","Buenos Aires","Mar del Plata","512880"
"South America","Argentina","Tucumán","San Miguel de Tucumán","470809"
"South America","Argentina","Buenos Aires","Lanús","469735"
"South America","Argentina","Buenos Aires","Merlo","463846"
"South America","Argentina","Buenos Aires","General San Martín","422542"
"South America","Argentina","Salta","Salta","367550"
"South America","Argentina","Buenos Aires","Moreno","356993"
"South America","Argentina","Santa Fé","Santa Fé","353063"
"South America","Argentina","Buenos Aires","Avellaneda","353046"
"South America","Argentina","Buenos Aires","Tres de Febrero","352311"
"South America","Argentina","Buenos Aires","Morón","349246"
"South America","Argentina","Buenos Aires","Florencio Varela","315432"
"South America","Argentina","Buenos Aires","San Isidro","306341"
"South America","Argentina","Buenos Aires","Tigre","296226"
"South America","Argentina","Buenos Aires","Malvinas Argentinas","290335"
"South America","Argentina","Buenos Aires","Vicente López","288341"
"South America","Argentina","Buenos Aires","Berazategui","276916"
"South America","Argentina","Corrientes","Corrientes","258103"
"South America","Argentina","Buenos Aires","San Miguel","248700"
"South America","Argentina","Buenos Aires","Bahía Blanca","239810"
"South America","Argentina","Buenos Aires","Esteban Echeverría","235760"
"South America","Argentina","Chaco","Resistencia","229212"
"South America","Argentina","Buenos Aires","José C. Paz","221754"
"South America","Argentina","Entre Rios","Paraná","207041"
"South America","Argentina","Mendoza","Godoy Cruz","206998"
"South America","Argentina","Misiones","Posadas","201273"
"South America","Argentina","Mendoza","Guaymallén","200595"
"South America","Argentina","Santiago del Estero","Santiago del Estero","189947"
"South America","Argentina","Jujuy","San Salvador de Jujuy","178748"
"South America","Argentina","Buenos Aires","Hurlingham","170028"
"South America","Argentina","Neuquén","Neuquén","167296"
"South America","Argentina","Buenos Aires","Ituzaingó","158197"
"South America","Argentina","Buenos Aires","San Fernando","153036"
"South America","Argentina","Formosa","Formosa","147636"
"South America","Argentina","Mendoza","Las Heras","145823"
"South America","Argentina","La Rioja","La Rioja","138117"
"South America","Argentina","Catamarca","San Fernando del Valle de Cata","134935"
"South America","Argentina","Córdoba","Río Cuarto","134355"
"South America","Argentina","Chubut","Comodoro Rivadavia","124104"
"South America","Argentina","Mendoza","Mendoza","123027"
"South America","Argentina","Buenos Aires","San Nicolás de los Arroyos","119302"
"South America","Argentina","San Juan","San Juan","119152"
"South America","Argentina","Buenos Aires","Escobar","116675"
"South America","Argentina","Entre Rios","Concordia","116485"
"South America","Argentina","Buenos Aires","Pilar","113428"
"South America","Argentina","San Luis","San Luis","110136"
"South America","Argentina","Buenos Aires","Ezeiza","99578"
"South America","Argentina","Mendoza","San Rafael","94651"
"South America","Argentina","Buenos Aires","Tandil","91101"
"Asia","Armenia","Yerevan","Yerevan","1248700"
"Asia","Armenia","Širak","Gjumri","211700"
"Asia","Armenia","Lori","Vanadzor","172700"
"Oceania","American Samoa","Tutuila","Tafuna","5200"
"Oceania","American Samoa","Tutuila","Fagatogo","2323"
"North America","Antigua and Barbuda","St John","Saint John´s","24000"
"Oceania","Australia","New South Wales","Sydney","3276207"
"Oceania","Australia","Victoria","Melbourne","2865329"
"Oceania","Australia","Queensland","Brisbane","1291117"
"Oceania","Australia","West Australia","Perth","1096829"
"Oceania","Australia","South Australia","Adelaide","978100"
"Oceania","Australia","Capital Region","Canberra","322723"
"Oceania","Australia","Queensland","Gold Coast","311932"
"Oceania","Australia","New South Wales","Newcastle","270324"
"Oceania","Australia","New South Wales","Central Coast","227657"
"Oceania","Australia","New South Wales","Wollongong","219761"
"Oceania","Australia","Tasmania","Hobart","126118"
"Oceania","Australia","Victoria","Geelong","125382"
"Oceania","Australia","Queensland","Townsville","109914"
"Oceania","Australia","Queensland","Cairns","92273"
"Europe","Austria","Wien","Wien","1608144"
"Europe","Austria","Steiermark","Graz","240967"
"Europe","Austria","North Austria","Linz","188022"
"Europe","Austria","Salzburg","Salzburg","144247"
"Europe","Austria","Tiroli","Innsbruck","111752"
"Europe","Austria","Kärnten","Klagenfurt","91141"
"Asia","Azerbaijan","Baki","Baku","1787800"
"Asia","Azerbaijan","Gäncä","Gäncä","299300"
"Asia","Azerbaijan","Sumqayit","Sumqayit","283000"
"Asia","Azerbaijan","Mingäçevir","Mingäçevir","93900"
"Africa","Burundi","Bujumbura","Bujumbura","300000"
"Europe","Belgium","Antwerpen","Antwerpen","446525"
"Europe","Belgium","East Flanderi","Gent","224180"
"Europe","Belgium","Hainaut","Charleroi","200827"
"Europe","Belgium","Liège","Liège","185639"
"Europe","Belgium","Bryssel","Bruxelles [Brussel]","133859"
"Europe","Belgium","West Flanderi","Brugge","116246"
"Europe","Belgium","Bryssel","Schaerbeek","105692"
"Europe","Belgium","Namur","Namur","105419"
"Europe","Belgium","Hainaut","Mons","90935"
"Africa","Benin","Atlantique","Cotonou","536827"
"Africa","Benin","Ouémé","Porto-Novo","194000"
"Africa","Benin","Atacora","Djougou","134099"
"Africa","Benin","Borgou","Parakou","103577"
"Africa","Burkina Faso","Kadiogo","Ouagadougou","824000"
"Africa","Burkina Faso","Houet","Bobo-Dioulasso","300000"
"Africa","Burkina Faso","Boulkiemdé","Koudougou","105000"
"Asia","Bangladesh","Dhaka","Dhaka","3612850"
"Asia","Bangladesh","Chittagong","Chittagong","1392860"
"Asia","Bangladesh","Khulna","Khulna","663340"
"Asia","Bangladesh","Rajshahi","Rajshahi","294056"
"Asia","Bangladesh","Dhaka","Narayanganj","202134"
"Asia","Bangladesh","Rajshahi","Rangpur","191398"
"Asia","Bangladesh","Dhaka","Mymensingh","188713"
"Asia","Bangladesh","Barisal","Barisal","170232"
"Asia","Bangladesh","Dhaka","Tungi","168702"
"Asia","Bangladesh","Khulna","Jessore","139710"
"Asia","Bangladesh","Chittagong","Comilla","135313"
"Asia","Bangladesh","Rajshahi","Nawabganj","130577"
"Asia","Bangladesh","Rajshahi","Dinajpur","127815"
"Asia","Bangladesh","Rajshahi","Bogra","120170"
"Asia","Bangladesh","Sylhet","Sylhet","117396"
"Asia","Bangladesh","Chittagong","Brahmanbaria","109032"
"Asia","Bangladesh","Dhaka","Tangail","106004"
"Asia","Bangladesh","Dhaka","Jamalpur","103556"
"Asia","Bangladesh","Rajshahi","Pabna","103277"
"Asia","Bangladesh","Rajshahi","Naogaon","101266"
"Asia","Bangladesh","Rajshahi","Sirajganj","99669"
"Asia","Bangladesh","Dhaka","Narsinghdi","98342"
"Asia","Bangladesh","Rajshahi","Saidpur","96777"
"Asia","Bangladesh","Dhaka","Gazipur","96717"
"Europe","Bulgaria","Grad Sofija","Sofija","1122302"
"Europe","Bulgaria","Plovdiv","Plovdiv","342584"
"Europe","Bulgaria","Varna","Varna","299801"
"Europe","Bulgaria","Burgas","Burgas","195255"
"Europe","Bulgaria","Ruse","Ruse","166467"
"Europe","Bulgaria","Haskovo","Stara Zagora","147939"
"Europe","Bulgaria","Lovec","Pleven","121952"
"Europe","Bulgaria","Burgas","Sliven","105530"
"Europe","Bulgaria","Varna","Dobric","100399"
"Europe","Bulgaria","Varna","Šumen","94686"
"Asia","Bahrain","al-Manama","al-Manama","148000"
"North America","Bahamas","New Providence","Nassau","172000"
"Europe","Bosnia and Herzegovina","Federaatio","Sarajevo","360000"
"Europe","Bosnia and Herzegovina","Republika Srpska","Banja Luka","143079"
"Europe","Bosnia and Herzegovina","Federaatio","Zenica","96027"
"Europe","Belarus","Horad Minsk","Minsk","1674000"
"Europe","Belarus","Gomel","Gomel","475000"
"Europe","Belarus","Mogiljov","Mogiljov","356000"
"Europe","Belarus","Vitebsk","Vitebsk","340000"
"Europe","Belarus","Grodno","Grodno","302000"
"Europe","Belarus","Brest","Brest","286000"
"Europe","Belarus","Mogiljov","Bobruisk","221000"
"Europe","Belarus","Brest","Baranovitši","167000"
"Europe","Belarus","Minsk","Borisov","151000"
"Europe","Belarus","Brest","Pinsk","130000"
"Europe","Belarus","Vitebsk","Orša","124000"
"Europe","Belarus","Gomel","Mozyr","110000"
"Europe","Belarus","Vitebsk","Novopolotsk","106000"
"Europe","Belarus","Grodno","Lida","101000"
"Europe","Belarus","Minsk","Soligorsk","101000"
"Europe","Belarus","Minsk","Molodetšno","97000"
"North America","Belize","Belize City","Belize City","55810"
"North America","Belize","Cayo","Belmopan","7105"
"North America","Bermuda","Saint George´s","Saint George","1800"
"North America","Bermuda","Hamilton","Hamilton","1200"
"South America","Bolivia","Santa Cruz","Santa Cruz de la Sierra","935361"
"South America","Bolivia","La Paz","La Paz","758141"
"South America","Bolivia","La Paz","El Alto","534466"
"South America","Bolivia","Cochabamba","Cochabamba","482800"
"South America","Bolivia","Oruro","Oruro","223553"
"South America","Bolivia","Chuquisaca","Sucre","178426"
"South America","Bolivia","Potosí","Potosí","140642"
"South America","Bolivia","Tarija","Tarija","125255"
"South America","Brazil","São Paulo","São Paulo","9968485"
"South America","Brazil","Rio de Janeiro","Rio de Janeiro","5598953"
"South America","Brazil","Bahia","Salvador","2302832"
"South America","Brazil","Minas Gerais","Belo Horizonte","2139125"
"South America","Brazil","Ceará","Fortaleza","2097757"
"South America","Brazil","Distrito Federal","Brasília","1969868"
"South America","Brazil","Paraná","Curitiba","1584232"
"South America","Brazil","Pernambuco","Recife","1378087"
"South America","Brazil","Rio Grande do Sul","Porto Alegre","1314032"
"South America","Brazil","Amazonas","Manaus","1255049"
"South America","Brazil","Pará","Belém","1186926"
"South America","Brazil","São Paulo","Guarulhos","1095874"
"South America","Brazil","Goiás","Goiânia","1056330"
"South America","Brazil","São Paulo","Campinas","950043"
"South America","Brazil","Rio de Janeiro","São Gonçalo","869254"
"South America","Brazil","Rio de Janeiro","Nova Iguaçu","862225"
"South America","Brazil","Maranhão","São Luís","837588"
"South America","Brazil","Alagoas","Maceió","786288"
"South America","Brazil","Rio de Janeiro","Duque de Caxias","746758"
"South America","Brazil","São Paulo","São Bernardo do Campo","723132"
"South America","Brazil","Piauí","Teresina","691942"
"South America","Brazil","Rio Grande do Norte","Natal","688955"
"South America","Brazil","São Paulo","Osasco","659604"
"South America","Brazil","Mato Grosso do Sul","Campo Grande","649593"
"South America","Brazil","São Paulo","Santo André","630073"
"South America","Brazil","Paraíba","João Pessoa","584029"
"South America","Brazil","Pernambuco","Jaboatão dos Guararapes","558680"
"South America","Brazil","Minas Gerais","Contagem","520801"
"South America","Brazil","São Paulo","São José dos Campos","515553"
"South America","Brazil","Minas Gerais","Uberlândia","487222"
"South America","Brazil","Bahia","Feira de Santana","479992"
"South America","Brazil","São Paulo","Ribeirão Preto","473276"
"South America","Brazil","São Paulo","Sorocaba","466823"
"South America","Brazil","Rio de Janeiro","Niterói","459884"
"South America","Brazil","Mato Grosso","Cuiabá","453813"
"South America","Brazil","Minas Gerais","Juiz de Fora","450288"
"South America","Brazil","Sergipe","Aracaju","445555"
"South America","Brazil","Rio de Janeiro","São João de Meriti","440052"
"South America","Brazil","Paraná","Londrina","432257"
"South America","Brazil","Santa Catarina","Joinville","428011"
"South America","Brazil","Rio de Janeiro","Belford Roxo","425194"
"South America","Brazil","São Paulo","Santos","408748"
"South America","Brazil","Pará","Ananindeua","400940"
"South America","Brazil","Rio de Janeiro","Campos dos Goytacazes","398418"
"South America","Brazil","São Paulo","Mauá","375055"
"South America","Brazil","São Paulo","Carapicuíba","357552"
"South America","Brazil","Pernambuco","Olinda","354732"
"South America","Brazil","Paraíba","Campina Grande","352497"
"South America","Brazil","São Paulo","São José do Rio Preto","351944"
"South America","Brazil","Rio Grande do Sul","Caxias do Sul","349581"
"South America","Brazil","São Paulo","Moji das Cruzes","339194"
"South America","Brazil","São Paulo","Diadema","335078"
"South America","Brazil","Goiás","Aparecida de Goiânia","324662"
"South America","Brazil","São Paulo","Piracicaba","319104"
"South America","Brazil","Espírito Santo","Cariacica","319033"
"South America","Brazil","Espírito Santo","Vila Velha","318758"
"South America","Brazil","Rio Grande do Sul","Pelotas","315415"
"South America","Brazil","São Paulo","Bauru","313670"
"South America","Brazil","Rondônia","Porto Velho","309750"
"South America","Brazil","Espírito Santo","Serra","302666"
"South America","Brazil","Minas Gerais","Betim","302108"
"South America","Brazil","São Paulo","Jundíaí","296127"
"South America","Brazil","Rio Grande do Sul","Canoas","294125"
"South America","Brazil","São Paulo","Franca","290139"
"South America","Brazil","São Paulo","São Vicente","286848"
"South America","Brazil","Paraná","Maringá","286461"
"South America","Brazil","Minas Gerais","Montes Claros","286058"
"South America","Brazil","Goiás","Anápolis","282197"
"South America","Brazil","Santa Catarina","Florianópolis","281928"
"South America","Brazil","Rio de Janeiro","Petrópolis","279183"
"South America","Brazil","São Paulo","Itaquaquecetuba","270874"
"South America","Brazil","Espírito Santo","Vitória","270626"
"South America","Brazil","Paraná","Ponta Grossa","268013"
"South America","Brazil","Acre","Rio Branco","259537"
"South America","Brazil","Paraná","Foz do Iguaçu","259425"
"South America","Brazil","Amapá","Macapá","256033"
"South America","Brazil","Bahia","Ilhéus","254970"
"South America","Brazil","Bahia","Vitória da Conquista","253587"
